file,C,pd,ph,retransmissions,size,1/size,timeout,dtau,L,Lf,N,Ne,Nt,T,a,Re,S
../testfiles/pinguim.gif,115200,0,0,100,4000,0.256,10000000,0,11133,10968,8,0,0,978496.75,0.132819240097009,0,0.778404901872864
../testfiles/pinguim.gif,115200,0,0,100,3000,0.341333333333333,10000000,0,11143,10968,9,0,0,979063.5,0.13261753567262,0,0.777954307015497
../testfiles/pinguim.gif,115200,0,0,100,2000,0.512,10000000,0,11163,10968,11,0,0,980917.5,0.132679924751411,0,0.776483921090883
../testfiles/pinguim.gif,115200,0,0,100,1100,0.930909090909091,10000000,0,11203,10968,15,0,0,987089.5,0.134387610461484,0,0.77162878003126
../testfiles/pinguim.gif,115200,0,0,100,550,1.86181818181818,10000000,0,11304,10968,25,0,0,1003002.5,0.138855095541401,0,0.759386608375021
../testfiles/pinguim.gif,115200,0,0,100,366,2.79781420765027,10000000,0,11404,10968,35,0,0,1019077,0.143401823921431,0,0.747408357431938
../testfiles/pinguim.gif,115200,0,0,100,275,3.72363636363636,10000000,0,11504,10968,45,0,0,1035036,0.147797218358832,0,0.735884226893235
../testfiles/pinguim.gif,115200,0,0,100,220,4.65454545454545,10000000,0,11603,10968,55,0,0,1051002,0.152177402395932,0,0.724705249530131
../testfiles/pinguim.gif,115200,0,0,100,180,5.68888888888889,10000000,0,11714,10968,66,0,0,1067014,0.155839235103295,0,0.71383005908701
../testfiles/pinguim.gif,115200,0,0,100,155,6.60645161290323,10000000,0,11813,10968,76,0,0,1084067.5,0.160736984677897,0,0.702600775935693
../testfiles/pinguim.gif,115200,0,0,100,135,7.58518518518519,10000000,0,11924,10968,87,0,0,1099058.75,0.163638292519289,0,0.693017244680202
../testfiles/pinguim.gif,115200,0,0,100,120,8.53333333333333,10000000,0,12024,10968,97,0,0,1115011.5,0.167671556886228,0,0.683102072639311
../testfiles/pinguim.gif,115200,0,0,100,110,9.30909090909091,10000000,0,12103,10968,105,0,0,1128994.25,0.171631711145997,0,0.674641758951976
../testfiles/pinguim.gif,115200,0,0,100,100,10.24,10000000,0,12203,10968,115,0,0,1145051,0.175601671720069,0,0.66518143442228
../testfiles/pinguim.gif,115200,0,0,100,90,11.3777777777778,10000000,0,12323,10968,127,0,0,1163068.25,0.17954973626552,0,0.65487701746365
../testfiles/pinguim.gif,115200,0,0,100,84,12.1904761904762,10000000,0,12416,10968,136,0,0,1179079.75,0.183744700386598,0,0.645984011400982
../testfiles/pinguim.gif,115200,0,0,100,78,13.1282051282051,10000000,0,12517,10968,146,0,0,1195007.5,0.187389470320364,0,0.637373963482795
../testfiles/pinguim.gif,115200,0,0,100,73,14.027397260274,10000000,0,12616,10968,156,0,0,1211050.5,0.191151204819277,0,0.62893055794673
../testfiles/pinguim.gif,115200,0,0,100,69,14.8405797101449,10000000,0,12696,10968,164,0,0,1224091.25,0.194191635160681,0,0.62223030077755
../testfiles/pinguim.gif,115200,0,0,100,65,15.7538461538462,10000000,0,12797,10968,174,0,0,1238703.5,0.196934062670939,0,0.614890219222491
../testfiles/pinguim.gif,115200,0,0,100,61,16.7868852459016,10000000,0,12906,10968,185,0,0,1257044.5,0.201280055788006,0,0.605918618367661
../testfiles/pinguim.gif,115200,0,0,100,58,17.6551724137931,10000000,0,13006,10968,195,0,0,1271096.75,0.20366727664155,0,0.599220056747582
../testfiles/pinguim.gif,115200,0,0,100,55,18.6181818181818,10000000,0,13106,10968,205,0,0,1286039.5,0.206507279108805,0,0.592257599138025
../testfiles/pinguim.gif,115200,0,0,100,52,19.6923076923077,10000000,0,13217,10968,216,0,0,1303986.75,0.210350654460165,0,0.584106139626547
../testfiles/pinguim.gif,115200,0,0,100,50,20.48,10000000,0,13306,10968,225,0,0,1319076.25,0.213764392003607,0,0.577424289662305
../testfiles/pinguim.gif,115200,0,0,100,48,21.3333333333333,10000000,0,13397,10968,234,0,0,1330030.5,0.214803284317384,0,0.572668571635513
../testfiles/pinguim.gif,115200,0,0,100,46,22.2608695652174,10000000,0,13498,10968,244,0,0,1343073.75,0.21641213513113,0,0.56710710537427
../testfiles/pinguim.gif,115200,0,0,100,44,23.2727272727273,10000000,0,13607,10968,255,0,0,1360060.25,0.21966148306019,0,0.560024209711788
